content,is_tran,photo,review_date,scenic_id,score,user_name,visit_date,zan
今天虽有些小雨，但是和友人依然决定出游慕田峪长城，提前预约了赞巴士直通车，第二天如约到达和平西桥地铁站b口，小赞同学早已在那里等候，心里暖暖的。测体温，检查健康宝，就上车了。大巴宽敞明亮，干净舒适。在车上小赞同学帮我们买票，1小时就到慕田峪长城了。我们拿到票后，就直接坐摆渡车到达长城脚下登城了。坐缆车来到了14号敌楼，在这里和最明显的地标合了一个影儿，又继续往高处爬去。满眼的绿色，眼睛得到最大化的放松。尽管稀稀拉拉地飘着小雨，但是我们很热。来到了17-18敌楼，看到身边云雾缭绕，情不自禁地把头伸出了墙外，闭着眼睛深深地吸气，天然氧吧，名不虚传。雨中的慕田峪长城，真优美，真神秘。来到了好汉坡，抬头一看，乖乖，90度，需手脚并用爬上去。上去以后，真是“一览众山小”，小雨，微风，汗水搅在一起，感觉很好……该下山了，坐缆车回到长城脚下，又坐摆渡车回到了赞巴士休息区。里面也很大，提供免费热水，还有最爱的酸梅汤呢。15:00准时返程，1小时左右又回到了早上集合的地方。分手时，送了我一个纪念品。哇，好有心呀。赞巴士，值。,1,,2020年7月11日,,ui_bubble_rating bubble_50,mtysjyj,2020年7月,12  
慕田峪长城因其景色秀美、地势平缓、修缮保存完好成为中外知名度最高，最受喜爱的一段长城，以前因远离市区交通不便，现在涌现出的直通车完美解决了交通不便，上次去慕田峪长城乘赞巴士，服务好，还有专属休息区，为旅客提供了便捷的出行方式，很赞！！！,1,,2020年7月11日,,ui_bubble_rating bubble_50,Camper18655231052,2020年7月,9  
"北京有三个长城，但我看了网上的攻略，都推荐慕田峪长城的原因，人少景美，因为旅游团基本都去八达岭长城，对于假期期间去的我们来说，别无选择。

对于路程，我是在携程网上定的赞巴士，大家可以自行上各种旅游网站搜索慕田峪长城一日游，根据自己的需求选择。我也是第一次上网预订一日游，感觉还不错，所有人集中一个时间点和地点上车，有导游在车上介绍一下接下来去到的景点，还有各种约定的时间，到达那里之后导游会帮忙买好票推荐游玩线路，还是很方便的，少走许多弯路。

进去景区后，我们选择的是坐缆车往返，人民币¥120/人，缆车上去后就是14号峰台，然后从14号爬到20号峰台，就是慕田峪长城景区的最高点了，再从20号峰台回到14号乘坐缆车下去，就是相对来说没有那么累，也是导游推荐的方法之一，喜欢运动的可以选择其他方式，有索道滑道这些，导游会和你们讲清楚的，大家自行选择。爬上20号峰台风景真的很美，建议一定要努力爬上去20号峰台看看风景，才算没白来（Tips：最好身上带上足够零食和水，长城上边矿泉水最高卖¥20/瓶，景区价格你懂的）

从长城上下来后还没有到集合的时间点，就到景区的赞巴士休息区看了会书，而且回去的...",1,,2020年6月5日,,ui_bubble_rating bubble_50,Sherpa29325463347,2020年5月,23  
几年前的秋天去爬过慕田峪长城，漫山遍野被红叶点缀，很美。几年前的秋天去爬过慕田峪长城，漫山遍野被红叶点缀，很美。,1,,2020年5月6日,,ui_bubble_rating bubble_50,Sunshine12763160062,2020年5月,6  
"夏天的北京又炎热又绚丽~🌤️😃
世界上数一数二的伟大建筑，屹立不摇的盘据于北方山脊间！一生人必要去一次的景点～万里长城
一共有十三关，走了天下第一雄关居庸关，居庸关被视为抵御北方敌人侵扰的重要屏障。其战略地位十分重要，一旦居庸关失守，攻城军队便可长驱直入，是守卫京城最重要的一道防线！",1,,2020年4月13日,,ui_bubble_rating bubble_50,illbelovingu,,
"八达岭人太多了，去慕田峪长城吧！
都说“不到长城非好汉”来了北京怎么能错过经典的世界八大奇迹之一。虽说北京有好几处长城，而以八达岭最具代表性，但是我个人却并不推荐八达岭，而是更建议去慕田峪长城！
慕田峪长城位于怀柔区，距离北京市区大约一个多小时的车程，是北京的新十六景之一。往西连接着居庸关长城，往东连接着古北口。慕田峪是北京目前现存的最长的长城，已经开发的区域长达2250米，最经典的取景就是正关台的三座敌楼并矗，属于比较罕见的长城一景。这里的一部分长城要比金山岭看着更原始一些，坡度也陡，所以相对爱运动的游客比较建议徒步。这里还有一个很刺激的娱乐项目，就是滑道，是一个从长城高处一路滑下来的体验项目，是年轻游客的首选。而且这里的游客相比八达岭要少很多，并且多以外国人为主，乍一看还以为出国了呢，外宾更喜欢游览慕田峪长城。
如果是乘坐公共交通，等待时间比较长，而且得卡着最后一班回北京的公交车。
安利一种很方便的交通工具：就是北京市区到慕田峪长城的直达交通--赞巴士直通车；
乘车点：北京市区地铁5号线和平西桥站B出口集合，出发5分钟即上京承高速，不用担心市区的堵车；车上安排导游随车，协助大家购买...",1,,2020年4月4日,,ui_bubble_rating bubble_50,Dream05317188250,2019年6月,24  
来过很多次慕田峪长城了，感觉这里比八达岭和居庸关要好爬一些，但是也很累。四季过来都有美景。还有不要在这里乱扔垃圾，因为清理很辛苦。,1,,2020年2月16日,,ui_bubble_rating bubble_50,leileihmr,,
"冬天虽然有些寒冷，但爬长城时会边爬边流汗，所以，反倒很舒服。
坡度有陡有缓，还看得见残雪痕迹，十分美丽。",1,,2020年1月25日,,ui_bubble_rating bubble_50,Sally0124tw,,
没有八达岭长城雄伟，但是胜在险峻，真的赞叹古人伟大的智慧和勇气！这次去有个小遗憾，我的相机摔坏了，所以拍的照片都丢了...,1,,2019年12月29日,,ui_bubble_rating bubble_50,Quest63453740555,2019年12月,
"风景非常好。蓝天。白雪。长城。
王玉红导游非常尽责，从讲解到待人都值得赞赏。
淡季去的，人不多。旅行社给了五个小时的玩耍时间，非常充裕！",1,,2019年11月30日,,ui_bubble_rating bubble_50,Road59226719837,2019年11月,5  
